,Rank,Release_Date,Movie_Title,USD_Production_Budget,USD_Worldwide_Gross,USD_Domestic_Gross,Decade
188,3720,1974-03-29,The Great Gatsby,7000000.0,26533200.0,26533200.0,1970
189,4696,1974-07-04,The Conversation,1600000.0,4420000.0,4420000.0,1970
190,5280,1974-10-18,The Texas Chainsaw Massacre,140000.0,26572439.0,26572439.0,1970
191,3038,1974-11-12,The Godfather: Part II,13000000.0,57300000.0,57300000.0,1970
192,5049,1974-11-15,Benji,500000.0,31559560.0,31559560.0,1970
193,4442,1974-12-15,Young Frankenstein,2800000.0,86300000.0,86300000.0,1970
194,2961,1974-12-17,Towering Inferno,14000000.0,139700000.0,116000000.0,1970
195,4176,1974-12-17,The Front Page,4000000.0,15000000.0,15000000.0,1970
196,3726,1974-12-20,The Man with the Golden Gun,7000000.0,97600000.0,21000000.0,1970
197,3261,1975-01-01,Barry Lyndon,11000000.0,20169934.0,20000000.0,1970
198,5176,1975-01-04,Death Race 2000,300000.0,0.0,0.0,1970
199,3968,1975-05-16,The Return of the Pink Panther,5000000.0,41833347.0,41833347.0,1970
200,3120,1975-06-20,Jaws,12000000.0,470700000.0,260000000.0,1970
201,4791,1975-09-26,The Rocky Horror Picture Show,1200000.0,140556781.0,140510017.0,1970
202,5125,1975-10-05,Monty Python and the Holy Grail,400000.0,5028948.0,3427696.0,1970
203,4344,1975-10-06,Love and Death,3000000.0,20123742.0,20123742.0,1970
204,4145,1975-11-19,One Flew Over the Cuckoo's Nest,4400000.0,108981275.0,108981275.0,1970
205,3723,1976-01-01,Logan's Run,7000000.0,25000000.0,25000000.0,1970
206,4251,1976-01-01,Network,3800000.0,23689877.0,23689877.0,1970
207,4805,1976-01-01,The Blue Bird,1200000.0,887000.0,887000.0,1970
208,4146,1976-06-25,Silent Movie,4400000.0,36145695.0,36145695.0,1970
209,4443,1976-06-25,The Omen,2800000.0,48570885.0,48570885.0,1970
210,4844,1976-08-02,Taxi Driver,1000000.0,28316211.0,28262574.0,1970
211,4353,1976-09-04,Family Plot,3000000.0,13200000.0,13200000.0,1970
212,4025,1976-11-03,Robin and Marian,5000000.0,8000000.0,8000000.0,1970
213,4661,1976-11-16,Carrie,1800000.0,25878153.0,25878153.0,1970
214,4840,1976-11-21,Rocky,1000000.0,225000000.0,117235147.0,1970
215,2202,1976-12-17,King Kong,23000000.0,90614445.0,52614445.0,1970
216,5051,1977-01-01,Kingdom of the Spiders,500000.0,17000000.0,17000000.0,1970
217,5297,1977-01-01,Eraserhead,100000.0,7012524.0,7000000.0,1970
218,3326,1977-03-11,Pete’s Dragon,10000000.0,36000000.0,36000000.0,1970
219,4165,1977-04-20,Annie Hall,4000000.0,38251425.0,38251425.0,1970
220,3765,1977-05-08,March or Die,7000000.0,1000000.0,1000000.0,1970
221,3239,1977-05-25,Star Wars Ep. IV: A New Hope,11000000.0,786598007.0,460998007.0,1970
222,1978,1977-06-15,A Bridge Too Far,26000000.0,50800000.0,50800000.0,1970
223,2980,1977-06-17,Exorcist II: The Heretic,14000000.0,25011000.0,25011000.0,1970
224,2989,1977-06-22,"New York, New York",14000000.0,13800000.0,13800000.0,1970
225,2278,1977-06-24,Sorcerer,21600000.0,12000000.0,12000000.0,1970
226,2969,1977-07-13,The Spy Who Loved Me,14000000.0,185400000.0,46800000.0,1970
227,5028,1977-10-08,The Kentucky Fried Movie,600000.0,20000000.0,15000000.0,1970
228,2713,1977-10-21,Damnation Alley,17000000.0,0.0,0.0,1970
229,2309,1977-11-16,Close Encounters of the Third Kind,20000000.0,337700000.0,166000000.0,1970
230,4304,1977-12-23,High Anxiety,3400000.0,31063038.0,31063038.0,1970
231,3009,1978-01-01,Caravans,14000000.0,1000000.0,1000000.0,1970
232,3165,1978-01-01,The Boys from Brazil,12000000.0,19000000.0,19000000.0,1970
233,4338,1978-01-01,Coming Home,3000000.0,32653000.0,32653000.0,1970
234,3260,1978-04-13,F.I.S.T,11000000.0,20388920.0,20388920.0,1970
235,2318,1978-06-16,Jaws 2,20000000.0,208900376.0,102922376.0,1970
236,3828,1978-06-16,Grease,6000000.0,387513770.0,181813770.0,1970
237,2798,1978-06-28,Heaven Can Wait,15000000.0,98800000.0,98800000.0,1970
238,4330,1978-07-28,National Lampoon's Animal House,3000000.0,141600000.0,141600000.0,1970
239,4382,1978-09-13,Days of Heaven,3000000.0,3660880.0,3446749.0,1970
240,5153,1978-10-17,Halloween,325000.0,70000000.0,47000000.0,1970
